+--------+--------+---------+------+--------+--------+--------+
| States |   t    |    p    |  x   |   h    |   s    |   e    |
|        |   °C   |   kPa   |  -   | kJ/kg  | kJ/kgK | kJ/kg  |
+--------+--------+---------+------+--------+--------+--------+
|   1    | 284.83 | 9862.9  | nan  | 1197.3 | 2.878  | 368.0  |
|   2    | 294.43 | 35000.0 | nan  | 1236.4 | 2.888  | 404.1  |
|   3    | 565.00 | 31000.0 | nan  | 3257.6 | 5.853  | 1571.1 |
|   4    | 330.83 | 7000.0  | nan  | 2892.4 | 5.906  | 1190.6 |
| 6VIII  | 330.83 | 7000.0  | nan  | 2892.4 | 5.906  | 1190.6 |
|   5    | 565.00 | 6200.0  | nan  | 3511.7 | 6.832  | 1543.0 |
|  6VII  | 485.03 | 3751.3  | nan  | 3351.6 | 6.856  | 1376.2 |
|  6VI   | 403.86 | 2133.3  | nan  | 3191.6 | 6.885  | 1207.7 |
|   6V   | 321.43 | 1118.1  | nan  | 3031.6 | 6.924  | 1036.5 |
|  6IV   | 237.75 |  523.6  | nan  | 2871.6 | 6.976  | 861.4  |
|  6III  | 152.97 |  208.4  | nan  | 2711.5 | 7.051  | 679.8  |
|  6II   | 90.26  |  70.9   | 0.98 | 2551.5 | 7.126  | 498.3  |
|   6I   | 60.81  |  20.7   | 0.93 | 2391.5 | 7.205  | 315.5  |
|   6    | 33.00  |   5.0   | 0.89 | 2231.4 | 7.297  | 128.9  |
|   7    | 32.00  |   4.8   | 0.00 |  71.0  | 0.240  |  1.9   |
| 7VIII  | 285.83 | 7000.0  | 0.00 | 1204.6 | 2.898  | 369.5  |
|  7VII  | 246.58 | 3751.3  | 0.00 | 1006.1 | 2.538  | 274.8  |
|  7VI   | 215.66 | 2133.3  | 0.00 | 860.5  | 2.253  | 211.3  |
|   7V   | 184.79 | 1118.1  | 0.00 | 721.2  | 1.961  | 156.1  |
|  7III  | 121.51 |  208.4  | 0.00 | 447.2  | 1.320  |  66.9  |
|  7II   | 90.26  |  70.9   | 0.00 | 315.0  | 0.971  |  35.1  |
|   7I   | 60.81  |  20.7   | 0.00 | 191.5  | 0.617  |  13.7  |
| 9VIII  | 284.83 | 9862.9  | nan  | 1197.3 | 2.878  | 368.0  |
|  9VII  | 245.58 | 9862.9  | nan  | 1001.6 | 2.515  | 277.0  |
|  9VI   | 214.66 | 9862.9  | nan  | 858.5  | 2.230  | 215.8  |
|   9V   | 183.79 | 9862.9  | nan  | 721.1  | 1.939  | 162.3  |
|  9IV   | 155.05 | 9862.9  | nan  | 596.6  | 1.658  | 118.9  |
|  7IV   | 153.58 |  523.6  | 0.00 | 584.6  | 1.654  | 108.1  |
|  9III  | 120.51 |  523.6  | nan  | 443.1  | 1.309  |  66.0  |
|  9II   | 89.26  |  523.6  | nan  | 311.2  | 0.959  |  34.7  |
|   9I   | 59.81  |  523.6  | nan  | 187.7  | 0.604  |  13.6  |
|   8    | 32.03  |  523.6  | nan  |  71.6  | 0.240  |  2.4   |
|   9    | 33.03  |  523.6  | nan  |  75.8  | 0.254  |  2.7   |
+--------+--------+---------+------+--------+--------+--------+
