+--------+---------+---------+-------+--------+--------+--------+
| States |    t    |    p    |   x   |   h    |   s    |   e    |
|        |   °C    |   kPa   |   -   | kJ/kg  | kJ/kgK | kJ/kg  |
+--------+---------+---------+-------+--------+--------+--------+
|   1g   |  15.00  |  100.0  | 0.00  |  15.2  | 0.054  |  0.0   |
|   2g   | 392.58  | 1500.0  | 0.00  | 403.6  | 0.140  | 363.5  |
|   3g   | 1250.00 | 1425.0  | 0.00  | 1549.3 | 1.262  | 1186.1 |
|   4g   | 625.98  |  100.0  | 0.00  | 698.9  | 1.342  | 312.8  |
|   5g   |  99.61  |  100.0  | 0.00  |  96.3  | 0.333  |  0.6   |
|   1    |  36.16  |   6.0   | 0.00  | 151.5  | 0.521  |  3.0   |
|   2    |  36.19  |  400.0  | -1.00 | 151.9  | 0.521  |  3.4   |
|   3    | 575.98  | 11000.0 | -1.00 | 3557.4 | 6.783  | 1604.3 |
|   4    | 365.41  | 2800.0  | -1.00 | 3156.2 | 6.839  | 1187.2 |
|   5    | 565.00  | 2800.0  | -1.00 | 3605.3 | 7.451  | 1459.9 |
|   6    | 318.00  |  400.0  | -1.00 | 3104.1 | 7.631  | 906.7  |
|   7    |  36.16  |   6.0   | 0.95  | 2445.9 | 7.939  | 160.0  |
|   8    | 230.06  |  400.0  | -1.00 | 2923.4 | 7.300  | 821.4  |
|   8'   | 143.61  |  400.0  | 0.00  | 604.7  | 1.776  |  94.4  |
|   8"   | 143.61  |  400.0  | 1.00  | 2738.1 | 6.895  | 752.7  |
|   9    | 318.08  | 2800.0  | -1.00 | 3044.9 | 6.658  | 1128.1 |
|   9'   | 230.06  | 2800.0  | 0.00  | 990.5  | 2.611  | 239.8  |
|   9"   | 230.06  | 2800.0  | 1.00  | 2802.9 | 6.212  | 1014.4 |
|  10'   | 318.08  | 11000.0 | 0.00  | 1450.4 | 3.430  | 463.6  |
|  10"   | 318.08  | 11000.0 | 1.00  | 2706.3 | 5.554  | 1107.4 |
+--------+---------+---------+-------+--------+--------+--------+
